,Hashtags,Sentiment,SentimentClass,date,geo,id,retweets,text,username
27,#coronavirus #Africa #COVID19 #Covid_19 #COVID #CoronaVirusUpdate #COVID,0.15151515151515152,Positive,2020-05-12 22:05:43+00:00,,1260330340117331974,1,"#coronavirus updates #Africa 12 May 22:01 GMT: Chad: 35 new #COVID19 cases &amp; 9 deaths Benin: 8 new cases Zambia: 174 new cases Togo: Total cases 181 Total cases in Africa top 68,840 death toll exceeds 2,379 #Covid_19 #COVID-19 #CoronaVirusUpdate #COVIDー19",DailyNewsEgypt
28,,0.0,Neutral,2020-05-12 22:02:57+00:00,,1260329643653152769,0,https://www.themastonline.com/2020/05/04/there-is-evidence-that-the-mmd-and-pf-lost-the-2001-and-20152016-elections-respectively/,Peter_S_Becks1
29,,0.0,Neutral,2020-05-12 21:57:16+00:00,,1260328213592657921,0,,Peter_S_Becks1
30,,0.0,Neutral,2020-05-12 21:51:15+00:00,,1260326697662140416,0,,Peter_S_Becks1
31,,0.13333333333333333,Positive,2020-05-12 21:45:05+00:00,,1260325149397704704,1,"Evolution of cases in Botswana, Burundi, Central African Republic, Cote d'Ivoire, Eritrea, Ethiopia, Kenya, Malawi, Mozambique, Namibia, Rwanda, South Africa, Eswatini, Uganda, Zambia, Zimbabwe, since 100th confirmed case. ",COVID19_bot
32,,0.0,Neutral,2020-05-12 21:44:54+00:00,,1260325099212808192,0,https://africa360degrees.com/features/how-tribalism-has-fuelled-conflict-in-africa/,Peter_S_Becks1
33,#Zambia,-0.3125,Negative,2020-05-12 21:42:12+00:00,,1260324423237881857,1,"Solar project in #Zambia comes at this critical time, when @UNDP promote + implement a response to COVID-19 supporting countries face challenges beyond health sector and mitigate potentially devastating impact it may have on vulnerable pops and economies. https://www.lr.undp.org/content/liberia/en/home/presscenter/articles/2020/fighting-covid-19-undp-restores-electricity-to-health-facility.html",BurtonTracey
34,,0.0,Neutral,2020-05-12 21:40:17+00:00,,1260323938309152768,0,,Peter_S_Becks1
35,#Zambia #Zambians,0.0,Neutral,2020-05-12 21:20:28+00:00,,1260318953055956993,0,#Zambia must unite and remove Edgar Chagwa Lungu/Patriotic Front government before Edgar Lungu/PF lead #Zambians on a path of death and destruction...,Peter_S_Becks1
36,#Zambia,-0.19999999999999998,Negative,2020-05-12 21:17:37+00:00,,1260318235955789825,0,"I don't have to be a prophet to foresee #Zambia breaking into civil war,if the current tribalism politics doesn't end before 2021 elections.If Zambians don't demand the end of tribalism,am afraid that civil war is inevitable...",Peter_S_Becks1
37,,-0.25,Negative,2020-05-12 21:11:32+00:00,,1260316703025741825,0,"The conflicts in Africa and Middle East always begun with politicized and careless tribalism or racism.Sudan,Libya,Syria,Yemen and Somalia generational conflicts begun with uncensored tribalism and genocidal racism....",Peter_S_Becks1
38,,-0.43125,Negative,2020-05-12 21:06:52+00:00,,1260315529165881344,0,"Human beings are emotional,when one group of people continue using racism or tribalism against the other group.There's eventually an outburst of violence,the violence will either come from the propagandists of hate speech or the victims of hate speeches......",Peter_S_Becks1
39,,-1.0,Negative,2020-05-12 21:01:18+00:00,,1260314130919174146,0,The worst form of racism is institutionalized racism like tribalism.Tribalism like racism always ends in violence.There's never been a country that witnessed rise in tribalism without civil war!!!!!!!,Peter_S_Becks1
40,#Tanzania #Covid_19,0.0,Neutral,2020-05-12 21:00:51+00:00,,1260314016423043075,0,Zambia cierra las fronteras terrestres de la región de Nakonde con #Tanzania para controlar el #Covid_19. Por esta frontera pasa el 70% de la mercancía en tránsito que llegan a Dar es Salaam.,ICEXKenya
41,,-1.0,Negative,2020-05-12 21:00:51+00:00,,1260314014162341890,0,The worst form of racism is institutionalized racism like tribalism.Tribalism like racism always ends in violence.There's never been a country that witnessed rise in tribalism without civil war.......,Peter_S_Becks1
42,,0.3,Positive,2020-05-12 20:25:34+00:00,,1260305137840656387,0,"@JaneRuth_Aceng @nyamadon @ntvuganda @nbstv In attempt to stop continued spread of COVID-19 among her citizens, coming from across the border, Zambia took a wise decision and closed her border with Tanzania. I think Uganda should emulate Zambian .... ",Yakobous
43,,0.37272727272727274,Positive,2020-05-12 20:20:13+00:00,,1260303788570750982,1,"Covid 19 update: Zambia has recorded 174 new cases of covid 19 the highest number recorded so far. PF and their president: Okay, great. Sounds like a good day to open the Victoria Falls ",Sakkur_D_Geloo
44,,0.2,Positive,2020-05-12 20:16:31+00:00,,1260302860778078208,0,Check if really there is no cure for covid 19 and what is being done is symptomatic treatment e.g fever = paracetamol etc and people are recovering then I guess their is no cause for alarm because even the 7 deaths reported in Zambia were not caused by covid 19 ,MathewsKamocha
45,,0.0,Neutral,2020-05-12 20:11:02+00:00,,1260301478159212544,0,PRESS RELEASE: The Covid-19 Purse Swells Again – Ministry Of Finance - Zambia Reports ,zambia_travels
46,#Zambia,0.0,Neutral,2020-05-12 19:57:43+00:00,,1260298127694868487,0,"The zambian economy is now dependant on the covid-19 pandemic,cash is flowing in like river bursting its banks. #Zambia",chola_neene
47,,0.0,Neutral,2020-05-12 19:29:59+00:00,,1260291148448489472,0,covid 19 cases in zambia popping up like: ,DeadpoolThamba
48,,-0.23333333333333328,Negative,2020-05-12 19:02:09+00:00,,1260284144065613830,0,The going to church thing is ruining any progress. Churches are bad news or covid. Northern Moz and Nakonde Zambia all seeing massive upswing in cases all coming in from Tanzania. The problem is much bigger then you know.,Mozyiddo
49,,0.13636363636363635,Positive,2020-05-12 18:18:04+00:00,,1260273049829597185,9,Zambia reports 174 new COVID-19 cases ,MobilePunch
50,,0.06818181818181818,Positive,2020-05-12 18:03:42+00:00,,1260269433186066432,0,"China conducts their business otherwise, Australia had de audacity 2 criticise China's handling of covid, so they slash their imports. We must learn to live without Chinese products. China took over Zambia Airport what if is their plan to take over Africa?",WaNyavani_Clan
51,,-0.4,Negative,2020-05-12 17:58:25+00:00,,1260268104464109569,0,I think there's no covid 19 in Zambia...just playing mind game ...,EstherM23799184
52,,0.1,Positive,2020-05-12 17:57:12+00:00,,1260267797529100288,0,How do we sign up because we want to take the lead as young people to fight covid-19,ndanji_simwanza
53,,0.5,Positive,2020-05-12 17:46:10+00:00,,1260265021478776833,0,Latest: PRESS RELEASE: The Covid-19 Purse Swells Again – Ministry Of Finance https://wp.me/paoTsk-i7M,Zambia_Reports
54,,-0.08125,Negative,2020-05-12 17:36:52+00:00,,1260262679542935553,0,These are DRC covid 19 stats. Lusaka and Nakonde are likely to contaminate Kasumbaesa and not the other way round. Haut Katanga province bordering Zambia has only 10 recorded cases. ,Stefie27361560
55,,0.0,Neutral,2020-05-12 17:33:27+00:00,,1260261819802890240,0,"What sense would it make to ask Sudan, Swaziland, Sweden, Switzerland, Syria, Tanzania, Thailand, Tunisia, Turkey, Uganda, Ukraine, United Kingdom, THE UNITED STATES, Uruguay, Vietnam, Yemen, Zambia or Zimbabwe about COVID-19 WHICH WAS BIRTHED IN CHINA?",Hermitjohn
56,,0.0,Neutral,2020-05-12 17:25:04+00:00,,1260259712433639424,3,"Zambia shuts Tanzania border to fight COVID-19, delaying copper exports - Reuters ",KiloFxtrot
57,,0.13636363636363635,Positive,2020-05-12 17:23:07+00:00,,1260259223369404416,0,President Lungu Opens Victoria Falls As Zambia Record 174 New Covid 19 Cases Today ,ZambianObserver
58,#COVID__19 #StayHome #StayHome #StaySafe,0.0,Neutral,2020-05-12 17:18:06+00:00,,1260257959441031177,0,Nimekua Nikifatilia Trend ya Sakata la Madereva Wa Tanzania kuzuiwa na Kupimwa #COVID__19 kwenye Mipaka ya Kenya Na Zambia. Utasikia dereva anasema hatuna Imani na vipimo tunavyopimwa Watu wamebeba mawazo ya Rais tukokuwa na Imani ya Vipimo vya KISAYANSI #StayHome #StaySafe,juliusmassabo
59,,0.0,Neutral,2020-05-12 17:08:19+00:00,,1260255495299964929,0,Zambia shuts border with Tanzania to curb COVID-19,trstdtravlr
60,#Ituri #Covid #Monusco #Malaria #Beni #Rwanda #Zambia #Territoriale #Dettes #1milliardDautreResponsabilites,0.0,Neutral,2020-05-12 16:59:03+00:00,,1260253164743385089,1,"Avec holdup electoral, ils pensaient ke c'était une partie d plaisir. Ils pensaient ke une histoire entre Masina et Gombe e les partis politiques. #Ituri #Covid #Monusco #Malaria #Beni #Rwanda #Zambia #Territoriale #Dettes #1milliardDautreResponsabilites",digito_maximo
61,,0.0,Neutral,2020-05-12 16:51:22+00:00,,1260251232163241987,2,"Germany gives Zambia K370m, demands accountability on Covid donations By Mirriam Chabala https://wp.me/p86XRW-isN?utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter",DiggersOfNews
62,#BeSafe #StayHome #StayHome #COVID_19,0.0,Neutral,2020-05-12 16:49:28+00:00,,1260250754125910016,0,Kuhusu Zambia Kufunga Mpaka Na Tanzania Mh. Bernad Kamilius Membe Amenukuliwa Na Dw Akisema Kuwa Diplomasia Ya Tanzania Imeshuka Kwa Awamu Hii Kulinganisha Na Awamu Zilizopita Kwa Sababu Tumekuwa Tukiangalia Mambo Ya Ndani Zaid Kuliko Ya Nje #BeSafe #StayHome #COVID_19,Chalawizo
63,#tiktaktoe,0.0,Neutral,2020-05-12 16:47:41+00:00,,1260250302890024960,0,Feels like Covid-19 and Zambia are playing cho-chise #tiktaktoe,muky_XD
64,,0.11688311688311688,Positive,2020-05-12 16:42:33+00:00,,1260249011400867841,2,Zambia's Employment Code is considered a job killer by economists. The government has now decided to exempt companies financially strapped as a result of Covid-19 from certain clauses (e.g gratuity payments) of the law. Solution is to draft a new law which supports job creation.,CPutaChekwe
65,,0.13636363636363635,Positive,2020-05-12 16:36:08+00:00,,1260247395696357381,1,Zambia Reports 174 New COVID-19 Cases ,HeraldNG
66,#KopalasMostLoved,-0.16,Negative,2020-05-12 16:23:04+00:00,,1260244111241760769,1,"HEADLINES : Zambia posts a high record of at least 174 COVID-19 cases in the last 72 hours . &lt; Seven arrested in Mwinilunga for possession of gold samples valued at K60, 000. &lt; Fauci to warn Senate of 'needless suffering and death. #KopalasMostLoved",flavafm87dot7
67,,0.13636363636363635,Positive,2020-05-12 16:18:11+00:00,,1260242880804814849,4,Zambia reports 174 new COVID-19 cases ,TheNationNews
68,,0.2,Positive,2020-05-12 16:15:23+00:00,,1260242177608880130,0,it’s a whole business venture. Of course we Covid 19 but it’s being exploited.,Dj_Sichi
69,,0.0,Neutral,2020-05-12 16:13:05+00:00,,1260241598845276164,2,"Media for Environment Science, Health and Agriculture (MESHA) from Kenya, Zambia Institute of Mass Communication (ZAMCOM), Humanitarian Information Centre FC from Zimbabwe and Health Journalists Network in Uganda (HEJNU) thank you for discussing issues on COVID-19 @HIVpxresearc",MeshaScience
70,,-0.125,Negative,2020-05-12 16:00:57+00:00,,1260238543034683397,0,"H.E. Dr. E.C. Lungu, President of the Republic of Zambia has on this day officially reopened the Victoria Falls in the tourist capital Livingstone to prevent the tourism industry from collapsing due to Covid-19. The President toured the Vic Falls today. https://mobile.facebook.com/story.php?story_fbid=3048492438545503&amp;id=322302104497897&amp;refid=17&amp;ref=opera_speed_dial&amp;_ft_=mf_story_key.3048492438545503%3Atop_level_post_id.3048492438545503%3Atl_objid.3048492438545503%3Acontent_owner_id_new.322302104497897%3Athrowback_story_fbid.3048492438545503%3Apage_id.322302104497897%3Aphoto_attachments_list.%5B3048491971878883%2C3048492105212203%2C3048492218545525%2C3048492348545512%5D%3Astory_location.4%3Astory_attachment_style.album%3Atds_flgs.3%3Apage_insights.%7B%22322302104497897%22%3A%7B%22page_id%22%3A322302104497897%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A322302104497897%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1589296771%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B3048492438545503%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A322302104497897%2C%22page_id%22%3A322302104497897%2C%22post_id%22%3A3048492438545503%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.322302104497897%3A306061129499414%3A2%3A0%3A1590994799%3A6641422507097675380&amp;__tn__=%2AW-R",francis_mulako
71,,0.0,Neutral,2020-05-12 15:57:44+00:00,,1260237733664096256,2,"The EU gives Zambia €12m towards the Covid-19 response. We shall scrounge in our poverty, anyone? ",ForeverDSj
72,#Covid #Zambia #Nakonde #Lusaka #Masaiti #Kabwe #Solwezi,-0.13333333333333333,Negative,2020-05-12 15:42:51+00:00,,1260233989002059779,5,"UPDATE: The 317 active #Covid-19 cases in #Zambia as follows (202 in #Nakonde, 58 in #Lusaka, 33 in #Masaiti, 19 in #Kabwe and 5 in #Solwezi)",Mwebantu
73,#BoZ,0.175,Positive,2020-05-12 15:41:16+00:00,,1260233590438268928,8,The Targeted Medium-Term Refinancing Facility provides liquidity to Financial Service Providers (FSPs) for onward lending to businesses and households affected by the coronavirus (COVID-19) pandemic. The full terms and conditions of the Facility: https://www.boz.zm/TermsandConditionsMediumTermRefinancingFacility.pdf #BoZ,BankofZambia
74,#Zambia #Zambia,0.0,Neutral,2020-05-12 15:37:48+00:00,,1260232716043329540,23,JUST IN: EUROPEAN Union gives #Zambia EUR 12 million or K241.2 million support as its immediate-term contribution to the Covid-19 response in #Zambia. ,Mwebantu
75,,0.35,Positive,2020-05-12 15:32:59+00:00,,1260231505466535936,0,I like in zambia the more of covid 19 the the richer there get....i cant say much but i know what i m talking about....,Prince22104296
76,#Health #Covid19,0.13636363636363635,Positive,2020-05-12 15:31:34+00:00,,1260231148413661186,2,#Health #174 #Covid19 Zambia reports 174 new COVID-19 cases http://dlvr.it/RWVlPh,news_ghana
77,,0.06818181818181818,Positive,2020-05-12 15:26:33+00:00,,1260229886922252288,0,"174 new COVID-19 Cases Recorded in Zambia, bringing the total to 441 http://dlvr.it/RWVkT3",ptngoma
78,,0.06818181818181818,Positive,2020-05-12 15:20:17+00:00,,1260228308903624704,3,"https://is.gd/6Qcnxd 174 new COVID-19 Cases Recorded in Zambia, bringing the total to 441 ",lusakatimes
79,,0.0,Neutral,2020-05-12 15:16:25+00:00,,1260227335099420674,3,"@WHO is doing a Zoom session on Zambia COVID forecasting this evening ... I""m sending our experts! @FMwenge @WymanKaluba @JohnTembo1982",siphophiri
80,,0.0,Neutral,2020-05-12 15:14:55+00:00,,1260226959822503937,0,Watanzania tunaruhusiwa kwenda kuogelea kwenye bahari ya hindi tuu Kenya Uganda Rwanda na Zambia tumepigwa lock out.Kama haukutaka lockdowns ya hiyari sasa hivi unapigwa lockdown ya lazima haya sasa tujenge Uchumi. NB:Uongozi sio kujalibu. ,UchafuziM
81,,0.0,Neutral,2020-05-12 15:13:59+00:00,,1260226723767083009,1,"This morning, our Managing Director, @mizingamelu hosted a press briefing where she announced that to date, the Bank has provided loan relief of K450 million to over 300 customers as part of our COVID-19 Payment Relief Programme. For details visit http://www.absa.co.zm/coronavirussupport/",AbsaZambia
82,,0.13636363636363635,Positive,2020-05-12 15:07:47+00:00,,1260225165004333058,0,Zambia reports 174 new COVID-19 cases ,NNNNEWS9
83,,0.31287878787878787,Positive,2020-05-12 15:06:37+00:00,,1260224871839170568,0,Solwezi confirmed its first 4 cases of COVID 19 today. Zambia recorded its greatest number of positive tests in one day today. And the president opened Victoria Falls to the public today. Last week he reopened golf courses and restaurants. What lies ahead???,gaecokayne
84,#Coronavirus #COVID19,0.13506493506493508,Positive,2020-05-12 15:04:54+00:00,,1260224436189442049,0,"#Coronavirus update - 113-year-old Spanish woman beats coronavirus - 67 people tested positive for Covid-19 in Serbia in the past 24 hours - Zambia reports 174 new confirmed cases of coronavirus, and no new deaths - 57 more people have died from Covid-19 in Sweden #COVID19",EvaSmartAI
85,#RT #Zambia #Africa #Politics,0.35,Positive,2020-05-12 15:03:45+00:00,,1260224148363714561,0,"174 COVID-19 CASES RECORDED, ZAMBIA TALLY AT 441 | Zambian Politics News - (Full Story: http://www.zambianpolitics.com/174-covid-19-cases-recorded-zambia-tally-at-441-zambian-politics-news/ ) #RT #Zambia #Africa #Politics",ZMPolitics
86,,0.28571428571428575,Positive,2020-05-12 15:02:42+00:00,,1260223883522854912,1,[SPECIAL VISIT] Board Chariman @ChibambaFavour paid a courtesy call on the CEO @NkhondeF &amp; Director: Growth &amp; Innovation @C_Fumbeshi in the company of Board member @alinanim . Top on Agenda was Post COVID-19 Corporate Strategy. ,moneyfmzambia
87,,0.11363636363636363,Positive,2020-05-12 15:00:50+00:00,,1260223414230548480,0,60 @60 @Money @15: 00hrs • Zambia records 174 cases of Covid-19 bringing the total number of positive cases to 441. • Policy Monitory and Research Centre (PMRC) recommends...https://www.facebook.com/2011166059211316/posts/2597841600543756/,moneyfmzambia
88,,-0.19999999999999998,Negative,2020-05-12 14:48:57+00:00,,1260220424593518593,0,"We have to avoid conflicts, especially at this time, When all efforts should be directed towards containing the covid-19 pandemic. Those inciting violence and hatred, are doing so for selfish reasons. help prove to the Zambia police service, the armoury issue is just propaganda.",brianba01233856
89,,0.0,Neutral,2020-05-12 14:48:39+00:00,,1260220348605308931,0,"Zambia shuts Tanzania border to fight COVID-19, delaying copper exports",trustdtravelr
90,,0.0,Neutral,2020-05-12 14:39:29+00:00,,1260218039724847105,0,"COVID- 19: Zambia yafunga mipaka yake, Tanzania yalalama ",Tuko07212206
91,,0.0,Neutral,2020-05-12 14:38:12+00:00,,1260217718562787330,0,"did you hear Zambia shuts Tanzania border to fight COVID-19, delaying copper exports",trstdtravlr
92,#LusakaFoodBank #Zambia #FoodBasket #COVID19 #CommunitySupport,0.25,Positive,2020-05-12 14:17:18+00:00,,1260212460558188545,0,Welcome to #LusakaFoodBank! Today we launch our initiative aimed at supporting the vulnerable families in our communities during the COVID-19 pandemic by providing them with a food basket on a monthly basis. #Zambia #FoodBasket #COVID19 #CommunitySupport,BankLusaka
93,,0.13636363636363635,Positive,2020-05-12 14:14:39+00:00,,1260211793856774144,0,Zambia reports 174 new COVID-19 cases https://nnn.com.ng/zambia-reports-174-new/,NNNNEWS9
94,#coronavirus #COVID19 #COVID_19,0.13636363636363635,Positive,2020-05-12 14:10:22+00:00,,1260210713127202816,0,"UPDATE: New cases of #coronavirus #COVID19 #COVID_19 Saudi Arabia (+1911, tot. 42925) Belarus (+967, tot. 24873) Brazil (+427, tot. 170021) US (+247, tot. 1348183) Zambia (+174, tot. 441) Senegal (+109, tot. 1995) Kenya (+15, tot. 715)",VoiceToData
95,#language #magazine #lullabies #covid19 #zambia #Zimbabwe,0.0,Neutral,2020-05-12 14:00:41+00:00,,1260208278908342272,0,African Life-Saving Lullabies Warn of COVID-19 https://bit.ly/3dBqPok #language #magazine #lullabies #covid19 #zambia #Zimbabwe,MITranslations
96,,0.17045454545454544,Positive,2020-05-12 13:59:26+00:00,,1260207962016153602,3,The Minister of Health and his team knew that COVID madness was happening in Tanzania. Still they allowed what they knew would happen to Zambia to happen with no resistance ! 174 new cases!,LauraMiti
97,#internationalnursesday #wesaluteyou #nurses,0.3873015873015873,Positive,2020-05-12 13:54:35+00:00,,1260206741662334977,0,#internationalnursesday #wesaluteyou #nurses HAPPY INTERNATIONAL NURSES DAY!! The Covid-19 pandemic is a vital reminder of the important role nurses play. Thank you for your tireless work and exceptional service We salute you. tag a nurse and make them feel special ,ZAQA_Zambia
98,,0.0,Neutral,2020-05-12 13:46:24+00:00,,1260204682275885060,0,Zambia has recorded an additional 174 COVID-19 cases out of the 338 tests performed on 9th and 10th May 2020. Muchinga Province (126): Nakonde (126) Copperbelt Province (29): Ndola (22); Chingola (1);,HelpsLusaka
99,#NursesDay2020 #media,0.11666666666666665,Positive,2020-05-12 13:29:27+00:00,,1260200417046204416,2,"The Zambia Daily Mail team joins the rest of the world in observing the International Nurses Day. Now more than ever, the world applauds you for your hard work and dedication. Our Nurses are playing a significant role in humanity’s quest to defeat COVID-19: #NursesDay2020 #media",zadama24
100,,0.0,Neutral,2020-05-12 13:28:51+00:00,,1260200267766693889,0,"Espero que el laboratorio donde te dijeron que tienes covid, no sea un fraude, como el laboratorio de Zambia en África, por mencionarte uno.",ivsomx
101,,0.13636363636363635,Positive,2020-05-12 13:27:48+00:00,,1260199999985631232,0,174 new Covid-19 cases in Zambia,ConnieMulela
102,,0.05000000000000001,Positive,2020-05-12 13:26:38+00:00,,1260199706732441600,0,"We will soon release a Post Covid-19 Preparation grant facility to support sector wide recovery planning &amp; a Business Resilience grant facility to support small business survival &amp; the creation of an impact debt relief fund. For more information, email info@prospero.co.zm",prosperozm
103,#Covid19,0.06666666666666667,Positive,2020-05-12 13:26:37+00:00,,1260199703473520642,2,Prospero's #Covid19 response is focused on offsetting both actual &amp; anticipated economic impacts on future investment &amp; job creation. We’ve released a Goods and Services grant facility to help businesses develop or scale-up goods &amp; services to support national Covid-19 efforts.,prosperozm
104,#COVID19 #OpenSpaceZM #ZedTwitter #BreakingNews #BREAKING #Africa,0.06818181818181818,Positive,2020-05-12 13:24:01+00:00,,1260199047782170624,1,"Zambia records 174 New COVID-19 cases out of the 338 samples analyzed bringing the total to 441 cumulatively, Nakonde Muchinga province has topped with 126 cases. #COVID19 #OpenSpaceZM #ZedTwitter #BreakingNews #BREAKING #Africa @OpenParlyZED @vladspencer @roobahlicious",JubielZulu
105,#covid,0.0,Neutral,2020-05-12 13:22:46+00:00,,1260198733729411074,0,#covid-19 we are now standing at 174 case of covid in zambia and my worry is were are going now ai,jardhdb
